,Job Title,Job Description,Skills,combined_text
0,admin big data,"responsible for managing and overseeing big data infrastructure, ensuring data integrity, security, and availability. requires expertise in hadoop, spark, and data warehousing solutions.","hadoop, spark, mapreduce, data lakes, data warehousing, big data architecture, nosql, data modeling, etl, cloud computing, aws, azure, data governance, security","admin big data hadoop, spark, mapreduce, data lakes, data warehousing, big data architecture, nosql, data modeling, etl, cloud computing, aws, azure, data governance, security responsible for managing and overseeing big data infrastructure, ensuring data integrity, security, and availability. requires expertise in hadoop, spark, and data warehousing solutions."
1,ansible operations engineer,"focuses on automating it processes using ansible. responsibilities include writing playbooks, managing configurations, and ensuring system reliability.","ansible, linux, automation, cloud platforms, ci/cd, infrastructure as code, kubernetes, docker, aws, terraform, python, scripting, networking","ansible operations engineer ansible, linux, automation, cloud platforms, ci/cd, infrastructure as code, kubernetes, docker, aws, terraform, python, scripting, networking focuses on automating it processes using ansible. responsibilities include writing playbooks, managing configurations, and ensuring system reliability."
2,artifactory administrator,"manages the artifactory repository for build artifacts. responsibilities include configuring repositories, managing access permissions, and integrating with ci/cd pipelines.","artifactory, ci/cd, jenkins, docker, maven, gradle, build automation, version control, git, cloud computing, linux, jfrog cli","artifactory administrator artifactory, ci/cd, jenkins, docker, maven, gradle, build automation, version control, git, cloud computing, linux, jfrog cli manages the artifactory repository for build artifacts. responsibilities include configuring repositories, managing access permissions, and integrating with ci/cd pipelines."
3,artificial intelligence / machine learning leader,"leads ai/ml projects and teams, defining strategy and overseeing implementation. requires strong leadership skills and knowledge of ai technologies.","ai strategy, machine learning, team management, project management, cloud computing, data science, deep learning, communication, budgeting, stakeholder management","artificial intelligence / machine learning leader ai strategy, machine learning, team management, project management, cloud computing, data science, deep learning, communication, budgeting, stakeholder management leads ai/ml projects and teams, defining strategy and overseeing implementation. requires strong leadership skills and knowledge of ai technologies."
4,artificial intelligence / machine learning sr.leader,"senior role overseeing multiple ai/ml initiatives. responsible for strategic planning, team management, and ensuring alignment with business goals.","ai strategy, machine learning, team management, project management, cloud computing, data science, deep learning, communication, budgeting, stakeholder management, innovation, mentoring","artificial intelligence / machine learning sr.leader ai strategy, machine learning, team management, project management, cloud computing, data science, deep learning, communication, budgeting, stakeholder management, innovation, mentoring senior role overseeing multiple ai/ml initiatives. responsible for strategic planning, team management, and ensuring alignment with business goals."
5,artificial intelligence architect,"designs ai systems and architecture. responsible for selecting appropriate technologies, ensuring scalability, and integrating ai solutions into existing systems.","ai architecture, machine learning, cloud computing, data science, deep learning, system design, aws, azure, scalability, security, model deployment","artificial intelligence architect ai architecture, machine learning, cloud computing, data science, deep learning, system design, aws, azure, scalability, security, model deployment designs ai systems and architecture. responsible for selecting appropriate technologies, ensuring scalability, and integrating ai solutions into existing systems."
6,artificial intelligence researcher,conducts research in ai to develop new algorithms and models. publishes findings in scientific journals and collaborates with academic institutions.,"machine learning, deep learning, research methods, python, tensorflow, pytorch, data analysis, statistical analysis, algorithm design, scientific writing","artificial intelligence researcher machine learning, deep learning, research methods, python, tensorflow, pytorch, data analysis, statistical analysis, algorithm design, scientific writing conducts research in ai to develop new algorithms and models. publishes findings in scientific journals and collaborates with academic institutions."
7,big data architect,"designs big data solutions and architecture. responsible for data modeling, etl processes, and ensuring the performance of big data systems.","hadoop, spark, kafka, mapreduce, nosql, data warehousing, cloud computing, aws, azure, data lakes, data modeling, etl, data governance, security","big data architect hadoop, spark, kafka, mapreduce, nosql, data warehousing, cloud computing, aws, azure, data lakes, data modeling, etl, data governance, security designs big data solutions and architecture. responsible for data modeling, etl processes, and ensuring the performance of big data systems."
8,big data engineer,"builds and maintains big data pipelines. responsible for data ingestion, transformation, and storage using technologies like hadoop and spark.","hadoop, spark, kafka, sql, nosql, python, java, scala, data pipelines, etl, data warehousing, cloud computing","big data engineer hadoop, spark, kafka, sql, nosql, python, java, scala, data pipelines, etl, data warehousing, cloud computing builds and maintains big data pipelines. responsible for data ingestion, transformation, and storage using technologies like hadoop and spark."
9,big data specialist,analyzes large datasets to extract insights. requires knowledge of statistical analysis tools and big data technologies.,"hadoop, spark, data analysis, data visualization, sql, nosql, data modeling, etl, cloud computing, data mining, statistical analysis","big data specialist hadoop, spark, data analysis, data visualization, sql, nosql, data modeling, etl, cloud computing, data mining, statistical analysis analyzes large datasets to extract insights. requires knowledge of statistical analysis tools and big data technologies."
10,build and release engineer,"manages the build process for software applications. responsible for automating builds, managing release schedules, and ensuring software quality.","ci/cd, jenkins, git, maven, gradle, docker, kubernetes, automation, scripting, linux, build tools","build and release engineer ci/cd, jenkins, git, maven, gradle, docker, kubernetes, automation, scripting, linux, build tools manages the build process for software applications. responsible for automating builds, managing release schedules, and ensuring software quality."
11,build engineer,focuses on building software applications from source code. responsibilities include configuring build environments and troubleshooting build issues.,"maven, gradle, ant, jenkins, ci/cd, git, build automation, scripting, linux, version control","build engineer maven, gradle, ant, jenkins, ci/cd, git, build automation, scripting, linux, version control focuses on building software applications from source code. responsibilities include configuring build environments and troubleshooting build issues."
12,chef operations engineer,"utilizes chef for configuration management. responsible for writing cookbooks, managing infrastructure as code, and automating deployment processes.","chef, ruby, automation, configuration management, linux, cloud computing, aws, azure, infrastructure as code","chef operations engineer chef, ruby, automation, configuration management, linux, cloud computing, aws, azure, infrastructure as code utilizes chef for configuration management. responsible for writing cookbooks, managing infrastructure as code, and automating deployment processes."
13,data analysts,"analyzes datasets to provide actionable insights. requires proficiency in sql, excel, and data visualization tools like tableau or power bi.","sql, excel, data visualization, power bi, python, r, statistics, data mining, data cleansing, tableau, etl, data modeling","data analysts sql, excel, data visualization, power bi, python, r, statistics, data mining, data cleansing, tableau, etl, data modeling analyzes datasets to provide actionable insights. requires proficiency in sql, excel, and data visualization tools like tableau or power bi."
14,data architect,"designs data models and architecture for databases. responsible for ensuring data quality, integrity, and security across systems.","data modeling, data warehousing, etl, sql, nosql, data governance, cloud computing, aws, azure, data integration, data security","data architect data modeling, data warehousing, etl, sql, nosql, data governance, cloud computing, aws, azure, data integration, data security designs data models and architecture for databases. responsible for ensuring data quality, integrity, and security across systems."
15,devops architect,designs devops frameworks that enhance collaboration between development/operations teams while implementing ci/cd practices.,"cloud computing, aws, azure, google cloud, docker, kubernetes, terraform, ansible, ci/cd, automation, security, networking","devops architect cloud computing, aws, azure, google cloud, docker, kubernetes, terraform, ansible, ci/cd, automation, security, networking designs devops frameworks that enhance collaboration between development/operations teams while implementing ci/cd practices."
16,devops engineer,implements devops practices by automating software delivery processes using tools like jenkins or gitlab ci.,"docker, kubernetes, ci/cd, aws, azure, linux, terraform, ansible, jenkins, git, automation, networking, python, scripting, cloud computing","devops engineer docker, kubernetes, ci/cd, aws, azure, linux, terraform, ansible, jenkins, git, automation, networking, python, scripting, cloud computing implements devops practices by automating software delivery processes using tools like jenkins or gitlab ci."
17,elk engineer,"implements elk stack (elasticsearch, logstash, kibana) solutions for log management/analysis while creating visualizations/dashboards.","elasticsearch, logstash, kibana, data visualization, log management, linux, aws, azure, networking, security","elk engineer elasticsearch, logstash, kibana, data visualization, log management, linux, aws, azure, networking, security implements elk stack (elasticsearch, logstash, kibana) solutions for log management/analysis while creating visualizations/dashboards."
18,gerrit administrator,"administers gerrit code review tool. responsibilities include managing user access, configuring project settings, and facilitating code reviews.","gerrit, git, code review, linux, automation, scripting, version control","gerrit administrator gerrit, git, code review, linux, automation, scripting, version control administers gerrit code review tool. responsibilities include managing user access, configuring project settings, and facilitating code reviews."
19,jenkins engineer,manages jenkins ci/cd server to automate software builds/deployments. responsibilities include configuring jobs/plugins and maintaining build pipelines.,"jenkins, ci/cd, automation, groovy, scripting, linux, docker, kubernetes, build automation, version control","jenkins engineer jenkins, ci/cd, automation, groovy, scripting, linux, docker, kubernetes, build automation, version control manages jenkins ci/cd server to automate software builds/deployments. responsibilities include configuring jobs/plugins and maintaining build pipelines."
20,jira administrator,"manages jira project management tool. responsibilities include configuring workflows, managing user permissions, and supporting teams in agile methodologies.","jira, atlassian suite, agile methodologies, workflow configuration, user management, project management","jira administrator jira, atlassian suite, agile methodologies, workflow configuration, user management, project management manages jira project management tool. responsibilities include configuring workflows, managing user permissions, and supporting teams in agile methodologies."
21,kubernetes operations engineer,"manages kubernetes clusters for container orchestration. responsibilities include deploying applications, monitoring cluster health, and troubleshooting issues.","kubernetes, docker, linux, cloud computing, aws, azure, networking, ci/cd, automation, security","kubernetes operations engineer kubernetes, docker, linux, cloud computing, aws, azure, networking, ci/cd, automation, security manages kubernetes clusters for container orchestration. responsibilities include deploying applications, monitoring cluster health, and troubleshooting issues."
22,machine learning architect,"designs machine learning systems architecture. responsible for selecting appropriate frameworks, designing workflows, and ensuring scalability of ml models.","machine learning, deep learning, cloud computing, data science, system design, aws, azure, scalability, security, model deployment","machine learning architect machine learning, deep learning, cloud computing, data science, system design, aws, azure, scalability, security, model deployment designs machine learning systems architecture. responsible for selecting appropriate frameworks, designing workflows, and ensuring scalability of ml models."
23,machine learning engineer,builds machine learning models by implementing algorithms/data processing techniques while focusing on model evaluation/deployment.,"python, machine learning, tensorflow, keras, pytorch, data analysis, deep learning, natural language processing, computer vision, data science, algorithms","machine learning engineer python, machine learning, tensorflow, keras, pytorch, data analysis, deep learning, natural language processing, computer vision, data science, algorithms builds machine learning models by implementing algorithms/data processing techniques while focusing on model evaluation/deployment."
24,operations engineer,"oversees it operations to ensure system reliability. responsibilities include monitoring system performance, troubleshooting issues, and implementing improvements.","linux, windows server, networking, troubleshooting, scripting, automation, cloud computing, monitoring, system administration","operations engineer linux, windows server, networking, troubleshooting, scripting, automation, cloud computing, monitoring, system administration oversees it operations to ensure system reliability. responsibilities include monitoring system performance, troubleshooting issues, and implementing improvements."
25,principle engineer in artificial intelligence,"leads ai initiatives within an organization. responsibilities include strategic planning, mentoring teams, and driving innovation in ai technologies.","ai strategy, machine learning, deep learning, data science, python, tensorflow, cloud computing, system design, mentoring, innovation","principle engineer in artificial intelligence ai strategy, machine learning, deep learning, data science, python, tensorflow, cloud computing, system design, mentoring, innovation leads ai initiatives within an organization. responsibilities include strategic planning, mentoring teams, and driving innovation in ai technologies."
26,principle engineer in big data,senior role responsible for big data strategy implementation. oversees architecture design decisions and ensures compliance with best practices.,"big data architecture, hadoop, spark, kafka, data warehousing, cloud computing, data governance, mentoring, innovation","principle engineer in big data big data architecture, hadoop, spark, kafka, data warehousing, cloud computing, data governance, mentoring, innovation senior role responsible for big data strategy implementation. oversees architecture design decisions and ensures compliance with best practices."
27,principle engineer in data analysis,leads data analysis projects to derive insights from complex datasets. requires strong analytical skills and experience with statistical methods.,"data analysis, statistics, sql, python, data visualization, data modeling, mentoring, innovation","principle engineer in data analysis data analysis, statistics, sql, python, data visualization, data modeling, mentoring, innovation leads data analysis projects to derive insights from complex datasets. requires strong analytical skills and experience with statistical methods."
28,principle engineer in machine learning,senior role overseeing machine learning projects. responsible for guiding teams on best practices in model development and deployment.,"machine learning, deep learning, python, tensorflow, cloud computing, model deployment, mentoring, innovation","principle engineer in machine learning machine learning, deep learning, python, tensorflow, cloud computing, model deployment, mentoring, innovation senior role overseeing machine learning projects. responsible for guiding teams on best practices in model development and deployment."
29,production support engineer,"provides support for production systems to ensure uptime. responsibilities include monitoring applications, troubleshooting issues, and performing root cause analysis.","troubleshooting, linux, windows server, scripting, networking, databases, monitoring, automation, itil","production support engineer troubleshooting, linux, windows server, scripting, networking, databases, monitoring, automation, itil provides support for production systems to ensure uptime. responsibilities include monitoring applications, troubleshooting issues, and performing root cause analysis."
30,puppet operations engineer,utilizes puppet for configuration management tasks. responsible for writing manifests/scripts to automate system configurations across environments.,"puppet, ruby, automation, configuration management, linux, cloud computing, aws, azure, infrastructure as code","puppet operations engineer puppet, ruby, automation, configuration management, linux, cloud computing, aws, azure, infrastructure as code utilizes puppet for configuration management tasks. responsible for writing manifests/scripts to automate system configurations across environments."
31,senior build and release engineer,leads build/release engineering efforts within an organization. manages complex build environments while ensuring timely delivery of software releases.,"ci/cd, jenkins, git, maven, gradle, docker, kubernetes, automation, scripting, linux, build tools, leadership, mentoring","senior build and release engineer ci/cd, jenkins, git, maven, gradle, docker, kubernetes, automation, scripting, linux, build tools, leadership, mentoring leads build/release engineering efforts within an organization. manages complex build environments while ensuring timely delivery of software releases."
